Station Name,Latitude,Longitude,UTM_E,UTM_N,UTM_Zone,Notes
Dumbarton Bridge,37.50417,-122.11944,577828.89,4151167.77,10S,"EXO2, SUNA V2 (added January 2021)"
Alviso Slough,37.44,-121.99833,588609.4,4144155.72,10S,EXO2
San Mateo Bridge,37.58444,-122.24889,566316.41,4159974.98,10S,Seabird Hydrocat-EP
Guadalupe Slough,37.43468,-122.02575,586189.82,4143539.5,10S,EXO2
Newark Slough,37.51338,-122.0821,581119.67,4152221.79,10S,EXO2
Mowry Slough,37.48536,-122.03274,585514.03,4149155.99,10S,retired; EXO2 removed in July 2020
Pond A8 outlet,37.42348,-121.97954,590292.11,4142340.51,10S,EXO2
Coyote Creek,37.46384,-122.02417,586296.44,4146777.13,10S,retired; EXO2/ HCEP removed in July 2020
Shoal,37.63079,-122.2432,566777.26,4165120.97,10S,"EXO2, SUNA V2 added August 2020"
SanLeandroMarina,37.6742,-122.2178,568978.33,4169955.61,10S,EXO2 added November 2020
Hayward,37.61174,-122.2012,570501.23,4163038.14,10S,"EXO2 added October 2020, RBR soloD added January 2022"
Guadalupe Slough miniDOT,37.44736,-122.02918,585872.14,4144943.72,10S,miniDOT added August 2021
Alviso Slough miniDOT,37.45228,-122.01917,586751.89,4145498.74,10S,miniDOT added August 2021
Eden Landing,37.58125,-122.18003,572399.24,4159671.46,10S,turbity sensor added January 2022